Time,Numerical,Analytical,Relative Error
0.335,0.7154578357,0.7153380864,0.0001674024273
0.336,0.7147430926,0.7146231058,0.000167902178
0.337,0.7140290635,0.7139088399,0.0001684019289
0.338,0.7133157478,0.7131952879,0.0001689016801
0.339,0.7126031446,0.7124824491,0.0001694014315
0.34,0.7118912534,0.7117703228,0.0001699011832
0.341,0.7111800733,0.7110589082,0.0001704009352
0.342,0.7104696037,0.7103482047,0.0001709006873
0.343,0.7097598439,0.7096382116,0.0001714004398
0.344,0.7090507931,0.708928928,0.0001719001925
0.345,0.7083424506,0.7082203535,0.0001723999454
0.346,0.7076348158,0.7075124871,0.0001728996986
0.347,0.7069278879,0.7068053283,0.000173399452
0.348,0.7062216662,0.7060988762,0.0001738992057
0.349,0.7055161501,0.7053931303,0.0001743989596
0.35,0.7048113388,0.7046880897,0.0001748987138
0.351,0.7041072315,0.7039837539,0.0001753984682
0.352,0.7034038277,0.703280122,0.0001758982229
0.353,0.7027011266,0.7025771934,0.0001763979779
0.354,0.7019991274,0.7018749674,0.000176897733
0.355,0.7012978296,0.7011734432,0.0001773974885
0.356,0.7005972324,0.7004726202,0.0001778972442
0.357,0.699897335,0.6997724977,0.0001783970001
0.358,0.6991981369,0.699073075,0.0001788967563
0.359,0.6984996373,0.6983743514,0.0001793965127
0.36,0.6978018354,0.6976763261,0.0001798962694
0.361,0.6971047307,0.6969789985,0.0001803960263
0.362,0.6964083224,0.6962823678,0.0001808957835
0.363,0.6957126098,0.6955864335,0.0001813955409
0.364,0.6950175922,0.6948911947,0.0001818952986
0.365,0.6943232689,0.6941966509,0.0001823950565
0.366,0.6936296393,0.6935028012,0.0001828948147
0.367,0.6929367026,0.692809645,0.0001833945731
0.368,0.6922444581,0.6921171817,0.0001838943318
0.369,0.6915529052,0.6914254105,0.0001843940907
0.37,0.6908620432,0.6907343306,0.0001848938499
0.371,0.6901718713,0.6900439416,0.0001853936093
0.372,0.6894823889,0.6893542425,0.000185893369
0.373,0.6887935953,0.6886652328,0.0001863931289
